name,rating,date,text
Kelvin,5,2024-05-20,"Plug and play..
Cam sayang gak ada bagian yg kek jarum (kek tutup bawaan pabrik) nya utk cek oli apakah masih bening ato uda item.."
Cakra,5,2024-12-21,"kayak gampang lecet, buat bukanya harus hati-hati. soalnya baru di tutup aja udah sedikit lecet karena kena alat."
Navi,4,2024-08-23,"oke, tapi ulirnya kasar, jadi perlu dihaluskan lagi ."
Aly,5,2024-05-20,Pengiriman Super Duper Cepat dan Fast Respon
Batin,5,2024-05-20,ga usah ragu beli disini. good
Y***w,5,2025-05-06,"Barang sesuai dengan orderan,kualitas bagus....terima kasih,sukses selalu"
eko,4,2024-05-20,Berfungsi dengan baik. Aksesoris pas dimotor saya!.
E***a,5,2025-05-16,N/A
Y***o,5,2025-05-13,"Kualitas pengerjaan: Sangat mudah dpasang
Bahan: Sangat bagus
Perakitan: Sangat mudah"
S***z,5,2025-05-20,"Kualitas pengerjaan: Bagus
Bahan: Bagus
Perakitan: Mudah
Top markotop deh"
Yogi,5,2024-05-20,"Packing bagus, pengiriman cepat, barang sesuai dengan gambar dan sesuai pesanan. Thanks yaa"
W***n,5,2024-05-20,sesuai harapan😁
rejull,5,2024-05-20,"seller mantep GC , penyakitnya cuma di ekspedisi si cep*t Gilak sampe 6 hari baru sampe ."
Y***j,5,2025-04-22,Bahan: Sangat bagus dan memuaskan terbaik
Johannes,5,2024-05-20,"reguler berasa next day langsung sampai, kualitaa barang pun bagus, semoga warna tidak bisa luntur dan semoga tidak karatan"
J***n,5,2024-10-22,"baragnya bagus, warnanya hitam, dan sangat bermanfaat"
Juniardi,5,2024-05-20,"barang bagus sesuai, cuma diproses nya lama banget sampe hampir batal by system"
Indra,5,2024-05-20,Presisi dan berkualitas
panggilsaja,5,2024-05-20,dari bautnya aja buat aerox 155 new kurang panjang
Sufriadi,4,2024-05-20,"Top lah, cuman untuk barangnya dikirim agak lama sih ditambah ekspedisi juga lumayan bangett"
G***n,3,2024-05-20,"maaf bintang 3 aja. 
krn seblmnya dah chat, msk/ga nya ke xmax, ternyata beda drat dgn xmax, xmax drat nya halus, sementara ini drat nya kasar. 
jd, klo diklaim bs universal, ga bnr. 
ditunggu versi drat halus nya."
B***S,4,2024-05-20,"Barang sama pengiriman OK, cuma proses sama respon Penjual aja yg PARAH."
